,annotation,content,user
4093,"{'notes': '', 'label': ['1']}","I still think you should be prouder of the ""Fuck fuck fuck!"" but ""Rock!"" is pretty good. When will you be teaching her ""FUCK YEAH""?",monalee10
4094,"{'notes': '', 'label': ['1']}",Damn  tough call  but I'd have to say toddlers.,fridayman
4095,"{'notes': '', 'label': ['1']}",I'm at a high school that I fucken hate. I can't stand these people  but my sister has a concert thing so I have to be here,noiselet
4096,"{'notes': '', 'label': ['1']}",oh no!! that sucks!,radilicious
4097,"{'notes': '', 'label': ['1']}",oh bugger at car screaming.. that sucks.... glad to hear the rest was all good,ahceedehruh
4098,"{'notes': '', 'label': ['1']}",Who would be ur premiere Ultimate Dumb Ass?,johnnyjeffrey
4099,"{'notes': '', 'label': ['1']}",except now they have his crazy ass son to deal with  probably.,xlad
4100,"{'notes': '', 'label': ['1']}","oh! I saw the ex earlier. Asked if I ""fancied a fuck"" before he left the hospital. I politely declined.",zebedeejane
4101,"{'notes': '', 'label': ['1']}",we all fucking know better.,rumpledoodles
4102,"{'notes': '', 'label': ['1']}",haha cunt.,ilovedricoll
4103,"{'notes': '', 'label': ['1']}",I hate him.,Funktipus
4104,"{'notes': '', 'label': ['1']}",damn your phone....SEVEn SEEEVEEEENNN,crissywatt
4105,"{'notes': '', 'label': ['1']}",I especially hate it when they make me lift up my feet to sweep under my desk. Sigh.,sheisgiovanna
4106,"{'notes': '', 'label': ['1']}",it sounded a lot like that  actually. Fucking Hagrid.,shakeandbake32
4107,"{'notes': '', 'label': ['1']}",you ass. Yay Walmart!,lukeii
4108,"{'notes': '', 'label': ['1']}",Definitely. I hate crowds. Angry  out of control crowds. I would rather have a root canal (and I've hd one or two),vgtero
4109,"{'notes': '', 'label': ['1']}",damn -- http://tinyurl.com/7b7nze,starsnostars
4110,"{'notes': '', 'label': ['1']}",that's why I throw a hard ice grill at him...no words...get the ticket and get the fuck out cause I've never had luck,jeremy_ellis
4111,"{'notes': '', 'label': ['1']}",Fuck you Ian  I know you're using a joke book!,leagian
4112,"{'notes': '', 'label': ['1']}",Honey  we all hate long division.  Look for things to hate that make your personal hate list special and distinctive.,robschmob
4113,"{'notes': '', 'label': ['1']}",whaaaaat! Who the fuck??,russmaxdesign
4114,"{'notes': '', 'label': ['1']}",Not really. Atlantis was okay. Old Star Gate on now. Was about to watch Numbers. Might do Sudoku instead unless u ready u fuck :),FotoWala
4115,"{'notes': '', 'label': ['1']}",I meant ready 2 fuck:) lol Hope u have something wild and freaky in mind. I'm bored :),tomlau
4116,"{'notes': '', 'label': ['1']}",My pussy remembers what u do! Lol :),aussie_ali
4117,"{'notes': '', 'label': ['1']}", NO NO NO NO NO I HATE YOU.,Czodzz
4118,"{'notes': '', 'label': ['1']}",yep...that whole damn mixtape gets me hype lol,alexjonline
4119,"{'notes': '', 'label': ['1']}",Damn Girl! Aww  that'll be cake at the rate YOU are chalking them up. Nice seasonal pic and awesome tweets btw.,laura_27
4120,"{'notes': '', 'label': ['1']}",you're assuming they can presently afford them?  leverage is a bitch.,RobertCustons
4121,"{'notes': '', 'label': ['1']}",please get the fuck out of my house,myazhax
4122,"{'notes': '', 'label': ['1']}",damn missing coffeeclub again. And this time really could have used a coffee ;-),cootiesncreme
4123,"{'notes': '', 'label': ['1']}",*looks at who is following me on twitter then remembers i dont care* OMG such a fag.,Sophieeexo
4124,"{'notes': '', 'label': ['1']}",if i get scared ill be sure to throw u in the way so u shiver in terror and piss ur pants like u already did,jdean81486
4125,"{'notes': '', 'label': ['1']}",bahahaha i love you. and ugh i wish i was on my way to va with @heyheatherr fuck the weatherr.,whatsupsarah
4126,"{'notes': '', 'label': ['1']}",they look SO dumb. and omg i hate cassidee. ugh. just ask @applicantjan LOL ;),bovinemammal
4127,"{'notes': '', 'label': ['1']}",You're a pig  you have a curly tail  for crying out loud!!! And you dare laugh at mine???,devanp16
4128,"{'notes': '', 'label': ['1']}",Welkom ! Dat Apple freak deed me besluiten je maar te volgen :),Loulou359
4129,"{'notes': '', 'label': ['1']}",too right XD Gordon Brown can officially kiss my ass! Freak!,addiiee
4130,"{'notes': '', 'label': ['1']}",:( PS3's are fantastic devices. Kicks XBOX's ass :D,realnowhereman
4131,"{'notes': '', 'label': ['1']}",that SUCKS.,MileyCyrus
4132,"{'notes': '', 'label': ['1']}",holy jebus yes. that'll do just fine. fuck I love twitter. free chicken!,smallbecca
4133,"{'notes': '', 'label': ['1']}",DAMN tootin'? Seriously? I've heard DARN tootin' and even DERN tootin'  but not DAMN tootin'! you kicked it up a notch.,Allypattern
4134,"{'notes': '', 'label': ['1']}",that sucks;{,jxriz
4135,"{'notes': '', 'label': ['1']}",i still feel bad. I woke up at 2 am and was like fuck! Then i saw that carly called,beccbabe
4136,"{'notes': '', 'label': ['1']}",makes sense and glad that it's shifting (even if geologic).  hate that kind of snobbery.,MissPippa
4137,"{'notes': '', 'label': ['1']}",Charisma Carpenter is a CUNT.  I also told her.,DarrylKC
4138,"{'notes': '', 'label': ['1']}",Damn straight I am!  I want to be 50ft!  I also want to play Barbarella.  I'd be much better than Rose McGowan.,ABnetGIRL
4139,"{'notes': '', 'label': ['1']}",Oh no. I hate that!,JessicaWylde
4140,"{'notes': '', 'label': ['1']}","you said ""sucks"" and I said why does it suck? LOL",realnowhereman
4141,"{'notes': '', 'label': ['1']}",I'm 1/2 with that  as a Realtor  my other 7/8ths would like 2 C stimulus 4 the housing market.  Damn'd if you do  Damn'd...,xCHICKAMUNGUSx
4142,"{'notes': '', 'label': ['1']}",Time's running out for them.  The Cboys will pull it off.  Looks damn cold.,Lalouba
4143,"{'notes': '', 'label': ['1']}",Pretenders come to mind! Damn.,paulinefraser
4144,"{'notes': '', 'label': ['1']}",I thought the same thing  he should have just hauled ass.,arjunvarma
4145,"{'notes': '', 'label': ['1']}",lmao  a grown ass man having brunch is even gaaaaayer!,KWelkeBrom
4146,"{'notes': '', 'label': ['1']}",I just read ass pet a cat.  Adam...that's just wrong.  :P,random_bloke
4147,"{'notes': '', 'label': ['1']}",....i make an ass out of my self * sad blushy face*,jonoabroad
4148,"{'notes': '', 'label': ['1']}",aww that sucks man. you've learned a lesson for your kids... leave'em in the cold or spare key under the poinsetta pot,StereoSystem
4149,"{'notes': '', 'label': ['1']}",try fuck.,jacobs_mcr
4150,"{'notes': '', 'label': ['1']}","nigga I'm DYING over here reading this sweeney interview. ""anybody that aint me is a bitch"". CLASSIC",danni_jones
4151,"{'notes': '', 'label': ['1']}",Well damn  that means you working wit something!  Lol..,ikaos
4152,"{'notes': '', 'label': ['1']}",LOL- I know how much u hate traffic- just know it was 10 times worse last night :),developeruk
4153,"{'notes': '', 'label': ['1']}",fashion parade. (damn sneaky mousepad enter key thing.),The_Kingfisher
4154,"{'notes': '', 'label': ['1']}",Damn it  how do you ALWAYS post the cool links first? :-) (Catching up on today's tweets.),IvoireofDTP
4155,"{'notes': '', 'label': ['1']}",I HATE that. I have a rhomboid  almost triangular 'washcloth' from learning bark sedge stitch. I use it to scrub the bathroom.,celebritymound
4156,"{'notes': '', 'label': ['1']}",I haven't started mine yet and don't know that it's happening. I'm a card freak  though  so probably I will send something.,Geekpie
4157,"{'notes': '', 'label': ['1']}",bad mood. i think its bedtime. i hate alcohol it ruins everything. :( hey what u doin 2night? x,moopf
4158,"{'notes': '', 'label': ['1']}",But surely  i need to improve on the digestive front. Ain't any fat panda :P,rachellitta
4159,"{'notes': '', 'label': ['1']}",damn I can't believe all that happen to her hair. I always thought it was simple 2 straighten natural hair,rpecknold
4160,"{'notes': '', 'label': ['1']}",ham stands 4 hot ass mess,johannamaciver
4161,"{'notes': '', 'label': ['1']}",yeah tneezy gonna hate it... @tneezy sorry boo u 1 day late!,djgraham
4162,"{'notes': '', 'label': ['1']}",- Do you HATE Cleo!?  Let her win for once  you're breaking my heart!  ;),lkm1989
4163,"{'notes': '', 'label': ['1']}",- More DnD podcasts!?  Fuck YEAH!,Viodyna
4164,"{'notes': '', 'label': ['1']}",you dont need a big fat spirit animal to be embarassed...,samamie
4165,"{'notes': '', 'label': ['1']}",http://twitpic.com/py9p - HER ass is on top,stickypop
4166,"{'notes': '', 'label': ['1']}",http://twitpic.com/pyb6 - is a very naughty panda  always has her ass up in the air.,Erinkyan
4167,"{'notes': '', 'label': ['1']}",I iz calm now - cept I can't figure out how to properly edit my wordpress templates. NERD ALERT NERD ALERT.,YasminHughes
4168,"{'notes': '', 'label': ['1']}",DM. damn.,beccbabe
4169,"{'notes': '', 'label': ['1']}",ignorance is my guess - but this could very well turn into a nerd rant - and that would get @amberto all worked up,fffour
4170,"{'notes': '', 'label': ['1']}",Predictability Sucks!   WHUUP! (not being predictable)  Kev,_CBearT_
4171,"{'notes': '', 'label': ['1']}",I HATE IT when that happens! Usually when I'm in a hurry :-/,liz_with_hat
4172,"{'notes': '', 'label': ['1']}",Damn I also like Ferrero Rocher dark chocolate version.  They induce the zits on my chin :'(,becwestlund
4173,"{'notes': '', 'label': ['1']}","Thanks! I'm not familiar w/ the ""nerd heard"" language. You should add #NH  so I can say #WUW #NH @craigsanaotmy!",evamen
4174,"{'notes': '', 'label': ['1']}",btw sir you are a ASS ty nuf said,jennarz
4175,"{'notes': '', 'label': ['1']}",been here more then a hour just to get my vegas shit back damn slow service shiat,NaughtyDrawer
4176,"{'notes': '', 'label': ['1']}",45 windows and only 12 open and about 30 people on break I mean I want 23 a hour to do not a damn thing,ashleymx
4177,"{'notes': '', 'label': ['1']}",1) i can't stop laughing at how's the meows sound like cat o-face screams. 2) ugh  so bummed i missed out. another gay? (:,TheBick
4178,"{'notes': '', 'label': ['1']}","the boy i'm talking to is a ravens fan. every time he ends a text with ""fucking bitches "" i can assume that they're losing.",Mizm20
4179,"{'notes': '', 'label': ['1']}",Haha no  I mean that I love the money & my coworkers  but hate how much time the jobs take up. It is fun to hate them though.,whatdayisit
4180,"{'notes': '', 'label': ['1']}",and i look emo too cause i'm wearing like all black and shit and my chains are hanging out XD i need guyliner,bexxi
4181,"{'notes': '', 'label': ['1']}",i had eyeliner on once but it kept smearing cause i'd fuck with it too much,LisaMarie217
4182,"{'notes': '', 'label': ['1']}",Damn dog  didnt call them like I said to? Well I is working till around 9ish,Ann_Travis
4183,"{'notes': '', 'label': ['1']}",How the hell do we get in these money situations? Sometimes I just feel like saying fuck it and have them come for my car.,Kayleigh_Stack
4184,"{'notes': '', 'label': ['1']}",Like Zebra man said in rock n roll parking lot. LIFE SUCKS SHIT!,GGTaryn
4185,"{'notes': '', 'label': ['1']}",Way to go loser  how does it feel to be an inanimate objects bitch? Must feel terrible to NEED something to be normal. Shame on you!,chloeee1993
4186,"{'notes': '', 'label': ['1']}",Maybe  I would have to stare at your face for awhile while I do it  that would be gay..and weird...and creepy...sort of,jessbabe
4187,"{'notes': '', 'label': ['1']}",I want to see a picture of you right before you decided to shave your head. That would kick ass  especially if you are crying.,josietot
4188,"{'notes': '', 'label': ['1']}",well clean the damn floor!,MissMog
4189,"{'notes': '', 'label': ['1']}",I have news 4 you this whole month is going 2 suck ass  I hope u like banquets n ramen cause thats whats on the menu this month :(,dannyhinde
4190,"{'notes': '', 'label': ['1']}",gahhhhhh....I hate them. HATE THEM. They come in on the pipes and through the heating vents to keep warm. BOOOOO.,killercalione
4191,"{'notes': '', 'label': ['1']}",I've never seen Wall-e. Yes  it's a hole  I know  but that doesn't mean you're not a huge nerd.,wolfnation
4192,"{'notes': '', 'label': ['1']}",That sucks. But what kind of parent buys a toy because it's HOT? What about the kids' personality and taste?,gannotti
4193,"{'notes': '', 'label': ['1']}",Hey  don't hate on NC.  They got bought out by PNC and alot of people are losing their jobs.  Cleveland has a sad face...,bryanrees
4194,"{'notes': '', 'label': ['1']}",http://tinyurl.com/6dunlq  hate me for it later  but it's not bad,TAG0505
4195,"{'notes': '', 'label': ['1']}",HAHA  that did brighten my day considerably.  How about on the one day of Christmas my broke ass got my gf gift cert to Chili's,nicolemissnikki
4196,"{'notes': '', 'label': ['1']}",damn  I'm moving south.  Cleveland has it for 1.69/gal,Nymeth
4197,"{'notes': '', 'label': ['1']}",- Damn... now  I'm bummed I missed... I'll be at the next one fo sheez...,29sparrows
4198,"{'notes': '', 'label': ['1']}", hmm didnt even know they existed...no wonder i feel like a complete retard when i cut stuff with a scissor,doylemb
4199,"{'notes': '', 'label': ['1']}",Laser treatment for pimples? Meh. Metrosexual a.k.a gay pride! Hahaha!,gavlp
4200,"{'notes': '', 'label': ['1']}",damn oh if only he could fly he could take me to his gaff(house) then,thatjamesboy
4201,"{'notes': '', 'label': ['1']}",Wow u in love wit her? U gay 4 her?,doaflip
4202,"{'notes': '', 'label': ['1']}",no im definately a bigger nerd than you.,leerosher
4203,"{'notes': '', 'label': ['1']}",you are sucha nerd! Love it!!! V(^_^) haha,Kelwil88
4204,"{'notes': '', 'label': ['1']}",if I ever fall alseep with them on  I wake up with the off. Hate them.,mzxgiant
4205,"{'notes': '', 'label': ['1']}",? Text me bitch!!! :),MaliainEdmond
4206,"{'notes': '', 'label': ['1']}",People are so fucking pathetic.  CHILDREN! Ughh~,Lozzatheblue
4207,"{'notes': '', 'label': ['1']}",that's ri god damn dick ulouse! Tasty though. Haha,choocom
4208,"{'notes': '', 'label': ['1']}",that sucks :(,aligoldsworthy
4209,"{'notes': '', 'label': ['1']}",psh bitch I'm at work running 2 trains with a 70 minute wait stupid kids and dumber parents I don't wanna hear it,ultrabrilliant
4210,"{'notes': '', 'label': ['1']}",it's cos we're old now. sucks.,GmaN98
4211,"{'notes': '', 'label': ['1']}", ....you gone wind up fucking her (is that what u wanna do  shawty),caseysevenfold
4212,"{'notes': '', 'label': ['1']}",yeah fuck it kill um all!,nickdenardis
4213,"{'notes': '', 'label': ['1']}",!!!!!!!!!!! FUCK YEAH YOU DID. &lt;3 &lt;3 &lt;3,katiekatiek
4214,"{'notes': '', 'label': ['1']}","you know fuck it I'm doing ""Jew-Boy money""",1314179
4215,"{'notes': '', 'label': ['1']}","you know what  fuck it I'm doing ""Jew-Boy money""",bryonywire
4216,"{'notes': '', 'label': ['1']}",Love You  Man  Not in Gay Way or Anything :),guyberryman
4217,"{'notes': '', 'label': ['1']}",I love you the way @MattBacak loves me  not in a gay way or anything :),ViciousPotato
4218,"{'notes': '', 'label': ['1']}",I'm all about peace n positivity  but sometimes you gotta give a little kid an ass whoopin' !,onion2k
4219,"{'notes': '', 'label': ['1']}",yo why u always tweetin' about boy problems ?? Fuck nikkas  get money  stay focused son!!! I know you a Hustla & Hard worker!!,songineverheard
4220,"{'notes': '', 'label': ['1']}",trust me dog I dont even FOCUS on females I'm so focused I got NO time for these broads the opposite sex will fuck a persons head up,meghanlynx3
4221,"{'notes': '', 'label': ['1']}","that's what I was JUST tellin' myself !! Hahaha I said ""Fuck it Kel  just DO IT and get it DONE !!"" But I complain the whole way",jessicastrust
4222,"{'notes': '', 'label': ['1']}",These fuckin FOOLISH ass atheletes !!! 35 mill down the drain    not to mention a great Giants season..WHY ?!?!?!?!,beutflone
4223,"{'notes': '', 'label': ['1']}",because like everything you do  its ASS Backwards !!!!,techieteri
4224,"{'notes': '', 'label': ['1']}",I have no idea why I live here. It sucks in the winter.,Jesus86
4225,"{'notes': '', 'label': ['1']}",I hate you sometimes. lol,mslollybot
4226,"{'notes': '', 'label': ['1']}",I don't hate you all the time. Just sometimes. Not enough to unfollow and block you. lol,sandermartijn
4227,"{'notes': '', 'label': ['1']}",so do I! But its the task of getting off my ass and going to get it. Gahh,KnowLoco
4228,"{'notes': '', 'label': ['1']}",YES!! she'll call me and be like get your ass out of bed and then she'll name a list of bs for me to do,BrownBella
4229,"{'notes': '', 'label': ['1']}", OMG that sucks! D:,mayalabeille
4230,"{'notes': '', 'label': ['1']}",Devil's AssMartini on Scottsdale and Gay  I mean Shea,Tanithr
4231,"{'notes': '', 'label': ['1']}",i hate this this sucks butthole im so mad im pissed i told that person not to tell,workaholic1231
4232,"{'notes': '', 'label': ['1']}",I guess everything's alright but I hate this still.,goldieloxx
4233,"{'notes': '', 'label': ['1']}",yikes. That sucks. Sorry to hear that.,19Sarah88
4234,"{'notes': '', 'label': ['1']}",Haha  damn him indeed,trainsong_
4235,"{'notes': '', 'label': ['1']}",Long enough to know you're an ass! You could see that jellyfish shit coming though..,evgenia1501
4236,"{'notes': '', 'label': ['1']}",I get your tweets on my phone and my ass was just vibrating like crazy lmao,bordadoingles
4237,"{'notes': '', 'label': ['1']}",ah sucks  maybe Redcliffe then  I guess it depends on what time I get up tomorrow haha,_Wren_
4238,"{'notes': '', 'label': ['1']}",that sucks :-(,xstaciex
4239,"{'notes': '', 'label': ['1']}",that really sucks :-( I could have recommended you an amazing chiropractor!,radilicious
4240,"{'notes': '', 'label': ['1']}",less drugz mo sleep bitch!,markbate
4241,"{'notes': '', 'label': ['1']}",@Kimber_Regator You guys are in the same fucking house and using twitter to talk.,LfcRobbo
4242,"{'notes': '', 'label': ['1']}",I fucking hate Rachel Ray.,Neomic
4243,"{'notes': '', 'label': ['1']}",I haven't been online all day  whore.  Trust me... one post from me is going to be more than you want at your house.,yesimaisya
4244,"{'notes': '', 'label': ['1']}",i hate hate hate being snowed in! (how's that for a sum up?),Kimpak
4245,"{'notes': '', 'label': ['1']}",damn! you packin heat!,SmilyLibrarian
4246,"{'notes': '', 'label': ['1']}",thanks sugar  i get a little sensitive here and there. damn holidaze!,emmaXIII
4247,"{'notes': '', 'label': ['1']}",i quit heroes. nathan is a fucking douche.,smileitsjordyn
4248,"{'notes': '', 'label': ['1']}",careful  soy joy will give you bitch tits!,macehella
4249,"{'notes': '', 'label': ['1']}",jacob sucks  i hate the werewolves  im with the vampires GRR,ashleyROSE21
4250,"{'notes': '', 'label': ['1']}",I blame Alexx for making me put 'I love to say fuck' on my ipod,jasminedoucet
4251,"{'notes': '', 'label': ['1']}",I am slighty mad at perry.  he can lick me ass!!!! loll,tankianann
4252,"{'notes': '', 'label': ['1']}",can you help clue me in on how to connect all facebook etc? thanks for coming last nite hope you didnt hate it lol,Britty88
4253,"{'notes': '', 'label': ['1']}",That's a damn shame  because they don't do veggie burgers. :),lvturner
4254,"{'notes': '', 'label': ['1']}",THAT WAS THE MOST  MOST BEAUTIFUL CHRISTMAS CARD I HAVE EVER RECEIVED.  I MEAN  DAMN.  80,tjwislon
4255,"{'notes': '', 'label': ['1']}",omg who sent you a fuck you letter??,xhardtoforget
4256,"{'notes': '', 'label': ['1']}",Does he have favorite characters? I'd hate to get him the guy he hates :),CathySavels
4257,"{'notes': '', 'label': ['1']}",That sucks... Can you use it on your iphone?,Rog_Smashy
4258,"{'notes': '', 'label': ['1']}",I know - I really wanted to go to the show - but I gotta be responsible. I was in class w/all the idiots. I hate them all!,moneva
4259,"{'notes': '', 'label': ['1']}",Know how you don't smell perfume you use a lot after a while? Same phenomenon w/stink. How else can you explain pig farmers?,taralovesu
4260,"{'notes': '', 'label': ['1']}",can I have some?  pizza in NC sucks :),cyxob
4261,"{'notes': '', 'label': ['1']}",yea school sucks sometimes. thanks bro figured id mess around on here to waste some more time from studyin ha,underhill70
4262,"{'notes': '', 'label': ['1']}",Ummm...was that our little brother's ass? And you dare judge me?,kevatkinson
4263,"{'notes': '', 'label': ['1']}",The dam @chilis? Is this like the pig under your tree? Have you cracked open the chard already?,onZofranom
4264,"{'notes': '', 'label': ['1']}",YES ROCK BAND! Only it hasn't come yet  fucking postman. Totnes was brietastic.,fetter1983
4265,"{'notes': '', 'label': ['1']}",FUCK YEAH!,qnzdiamond2k2
4266,"{'notes': '', 'label': ['1']}",yr gay voice =],La_H
4267,"{'notes': '', 'label': ['1']}",Oh it's pretty much public knowledge that I hate shaving my legs. Or at least it is now.,afokkema
4268,"{'notes': '', 'label': ['1']}",Stop getting so damn skinny and maybe your pants will fit! =P,CathrynR
4269,"{'notes': '', 'label': ['1']}",wow that is damn ridiculous.  I think i will be crossing off dubai for places to visit.,Karissma
4270,"{'notes': '', 'label': ['1']}",Lulz. OK. Internet Explorer sucks.,CrazyMikesapps
4271,"{'notes': '', 'label': ['1']}",@bagntrash everyone kind of just disappeared after the food  I'm not leaving it there for some jelly-bean givin jack ass to take!,paperheartsneha
4272,"{'notes': '', 'label': ['1']}",I'm just gonna start the emo kids who pretend-to-cut themselves clique. I can be found in the library playing WoW if you need me.,AlexBermingham
4273,"{'notes': '', 'label': ['1']}",mussels? or muscles. Damn web-people.,buttercuphll
4274,"{'notes': '', 'label': ['1']}",BOOO!!! We missed out on date night. I hate the Tinder Box.,cravenjade
4275,"{'notes': '', 'label': ['1']}",I still hate the Tinder Box... It hinders our couple social circle. Thank God the holidays are almost over.,sterling_silver
4276,"{'notes': '', 'label': ['1']}","Frat boys think ""good game"" afterward means they aren't gay. Doesn't make 'em str8!",Poppietarty
4277,"{'notes': '', 'label': ['1']}",~ wholeheartedly agree that NYE music entertainment sucks!,sergiubiris
4278,"{'notes': '', 'label': ['1']}","yo fuck that dude 4 realz!!! it was allz cuz u  me   ""animal"" & ""marc delicious"" were so stupid-ass-rodimus prime fantabibulous!",annaOrange
4279,"{'notes': '', 'label': ['1']}",Marc got home ok...but said he might've fuckied his rim up. I told his ass the pierogies & sausage wwere gonna knock him out....,Angelique
4280,"{'notes': '', 'label': ['1']}",u know it was over $1200 2 get that bar replaced. George is gonna take that outta thier ass LOL,markhulsmeier
4281,"{'notes': '', 'label': ['1']}",checked out the link. Holy ass...i think that fairy had seen that vid a million times cuz he was damn close! LOL,AndrewWBurns
4282,"{'notes': '', 'label': ['1']}",dude  that kind of sucks.,watitdo
4283,"{'notes': '', 'label': ['1']}",pimping your blog again  but damn funny.  specially including Connex,neonaie
4284,"{'notes': '', 'label': ['1']}",I can't help that you keep looking for gay midget porn on YT. The volume is too loud for you but I like blaring my Celine Deon.,Serpentinial
4285,"{'notes': '', 'label': ['1']}",holy shit I'm not even taking that class  and I hate it !,HudsonKent
4286,"{'notes': '', 'label': ['1']}","my lungs are fine  but my legs are like ""bitch  your ass is heavy !! let's stop !"".",nancetron
4287,"{'notes': '', 'label': ['1']}",that sucks man...,hilaryjw
4288,"{'notes': '', 'label': ['1']}",You are a Linux whore!,alexa_chung
4289,"{'notes': '', 'label': ['1']}",you must REALLY hate Christmas then!,taralovesu
4290,"{'notes': '', 'label': ['1']}",I listen to a lot of really weird music  and I hate most of what's on the radio  so it's not really for me.,kdlove1974
4291,"{'notes': '', 'label': ['1']}",I have both now. iPhone camera sucks as well as lack of other things  but email  twitter and apps are good. Big screen is nice.,EmilyNatanya
4292,"{'notes': '', 'label': ['1']}",you can do video after jailbreak. But still it's not a patch on the n95 camera. I really hate the iPhone cam.No settings at all!,RossGoodman
4293,"{'notes': '', 'label': ['1']}",Watching the Biggest Loser. I'm amazed by weight gain or weight loss.These people are losing 5  10 20  30 lbs in one week.Amazing,p__greer
4294,"{'notes': '', 'label': ['1']}",I don't hate you. My last partner was 130 lbs and I got him up to 165 lbs of solid muscle. I hated him 4 looking better than me,IrvTheSwirv
4295,"{'notes': '', 'label': ['1']}",I hate to keep sending this link.. but you never got back at me.... Whats good.. http://tinyurl.com/6xmnyr,lizzalina
4296,"{'notes': '', 'label': ['1']}",gotta hate those fake posers,matt_heath
4297,"{'notes': '', 'label': ['1']}",I hate insomnia too. NyQuil works ok. Excedrin PM probably better.,charlieatkins1
4298,"{'notes': '', 'label': ['1']}",@maddow. where is that big gay planet? can I go there now please? someone please fucking segregate me off this rock.,Fifi1976
4299,"{'notes': '', 'label': ['1']}","No. Being ""down"" 5lbs is a bad thing when you're a scrawny nerd who's trying to bulk up. :)",_DontTellMeLies
4300,"{'notes': '', 'label': ['1']}",Hahaha  Testosterone Man!!!  I met Mega Bitch Soccer Mom the other day. She took the time to stop  honk her horn  & flip me off,nfarrow
4301,"{'notes': '', 'label': ['1']}",i forgot about the clothes haa. i cant wait to get my ass in2 my skinnys! :) i belive im also getting 2 pairs of pjs. scorreeee!! :L,mizzcool123
4302,"{'notes': '', 'label': ['1']}",it's emo because you used a razor. An explained joke isn't funny. :(,rob_caporetto
4303,"{'notes': '', 'label': ['1']}",It sucks!!! My kitty (adopted alley cat) only knows how to potty outside  so I was freezing my arse off trying to get it in. LOL,boatsnhoesss
4304,"{'notes': '', 'label': ['1']}",WOW what a loser. I hope seth has some good male role models in his life.,goodwin88
4305,"{'notes': '', 'label': ['1']}",I spent all last week with that damn song in my head. :),lisaseat
4306,"{'notes': '', 'label': ['1']}",what an ass - who the hell says things like that. I'd report the fucker,rdeclair
4307,"{'notes': '', 'label': ['1']}",True! I hate people who're full of themself! That's one of the reason i love mcr  they're humble and down to earth...,gabehabe
4308,"{'notes': '', 'label': ['1']}",WHATTTTT O________O omg.....nahhhh i hate roller coaster and im extremely scared by this shoot......,tooptoop
4309,"{'notes': '', 'label': ['1']}",LOOK @ UR TEXTS OR I'M GONNA FREAK OUT @ U!!!,sweetL80
4310,"{'notes': '', 'label': ['1']}",Funny that the guy's last name is Dick...bwaha! :-D,rossc719
4311,"{'notes': '', 'label': ['1']}",unfortunately i do =( it sucks! & i have my  2 last finals 2mrrw bc we had a snow day that other friday. i dont wanna go back!,LeezeArray
4312,"{'notes': '', 'label': ['1']}",i hate school =(,TimMothE
4313,"{'notes': '', 'label': ['1']}",OOGA BOOGA FOOCHA FUCK YOUR WHOLE DAY!!!!!!!!,nicepaul
4314,"{'notes': '', 'label': ['1']}",Oh sad faces :( I hate it when that happens! Reading in bed usually helps me...,melstar001
4315,"{'notes': '', 'label': ['1']}",that sucks!,Skavie
4316,"{'notes': '', 'label': ['1']}",& @lasandwich I hate calculus... :(,tynie626
4317,"{'notes': '', 'label': ['1']}",what a loser. :P,kayteex394
4318,"{'notes': '', 'label': ['1']}",1) it depends on how u come at me. 2) if my 1st impression of you sucks I prob won't be so warm & bubbly. I'm mean though.,NicoleBlake22
4319,"{'notes': '', 'label': ['1']}",He's passed out in my bathtub. Only way I could restrain him: knocking his ass out and leaving him in the dark. :1,FenOswin
4320,"{'notes': '', 'label': ['1']}",Naw. I gave him tomorrow off. Fuck  my carpet's a mess.,TiffaniDanyelle
4321,"{'notes': '', 'label': ['1']}",Wow  that sucks - work at home day?  @PrincessErsatz - I couldn't agree more - good day to be under the covers  relaxing.,CathaaayM
4322,"{'notes': '', 'label': ['1']}",That sucks..  Stuff working yet?,inekeclewer
4323,"{'notes': '', 'label': ['1']}",damn man kn frnd e,ImaMonsta
4324,"{'notes': '', 'label': ['1']}",damn man kobaa e ??? :O,andreapalasi
4325,"{'notes': '', 'label': ['1']}",u stll up drinking bitch?,sleebee123
4326,"{'notes': '', 'label': ['1']}",damn. lol. let me try something else. hot lesbian sex. nekked girl on girl. free porn.,JacquiOx
4327,"{'notes': '', 'label': ['1']}",haha. it just bugs me. because posers like her make it harder for people that truely are gay to be accepted,porsalinh
4328,"{'notes': '', 'label': ['1']}",damn right it wi be!,melstar001
4329,"{'notes': '', 'label': ['1']}",damn that store! ~*Krystle*~,ABBAlove
4330,"{'notes': '', 'label': ['1']}",you order pizza that much they have you on speed dial. damn.,gelozamora
4331,"{'notes': '', 'label': ['1']}",THANK YOU! It's not just me. Gay guys are hot as hell.,adam_payne
4332,"{'notes': '', 'label': ['1']}",yeah  it sucks. 6 yrs down here & realizing we dont get snow. just ice. and nobody can drive in rain  let alone ice,xXM1CH3113Xx
4333,"{'notes': '', 'label': ['1']}",then ur game sucks. no crue  not buying it.,DeadlyMary
4334,"{'notes': '', 'label': ['1']}",or maybe go see bolt tonight? or both? don't know if you're busy for white whale stuff... but it's my bday. let's celebrate,SupTabinator
4335,"{'notes': '', 'label': ['1']}",sam are you showing in 'in sequence' at white whale on friday night? I wasn't sure... since you'll be out of town for the opening ,AmiraLoveJonas1
